"Model","hauljoin","lon","lat","Folds","abund","pred","prob","cvpred","cvprob","error","cverror"
"cloglog",-16657,-139348.740275328,746005.639391133,"F",1,9.67914870572325,0.692075075566371,11.1852339027898,0.709783200030123,8.67914870572325,10.1852339027898
"cloglog",-19330,169651.259724672,940505.639391132,"F",70,9.2033924678324,0.673720973567882,10.1036666816819,0.672904083787924,-60.7966075321676,-59.8963333183181
"cloglog",-10547,914651.259724671,1075505.63939113,"F",0,1.71854119563073,0.18871594386657,1.86641097347825,0.186518226961145,1.71854119563073,1.86641097347825
"cloglog",-15028,651.259724672069,683505.639391133,"F",9,4.97585418705678,0.454217179319028,4.7562462392505,0.409070122631417,-4.02414581294322,-4.2437537607495
"cloglog",-17304,1290651.25972467,721005.639391133,"F",0,15.4189759437202,0.846860307582149,18.9134838194032,0.876547554206275,15.4189759437202,18.9134838194032
"cloglog",-16697,-142348.740275328,742505.639391133,"F",1,10.2418638928391,0.712455781647704,12.1252913280359,0.73844240660658,9.24186389283914,11.1252913280359
"cloglog",-16609,-407348.740275327,619505.639391133,"F",39,8.31833115824108,0.636616035501368,7.70462541240057,0.573506966857395,-30.6816688417589,-31.2953745875994
"cloglog",-16927,286651.259724672,1107505.63939113,"F",0,2.80471797384585,0.28916773051364,2.93146480525068,0.276916474963113,2.80471797384585,2.93146480525068
"cloglog",-14007,-606348.740275327,546005.639391134,"F",4,8.25089122007537,0.633621446143191,9.85970363592637,0.663957836445426,4.25089122007537,5.85970363592637
"cloglog",-19170,-103348.740275328,668505.639391133,"F",0,4.85070788847685,0.445841498277451,4.36103333869543,0.382666543510162,4.85070788847685,4.36103333869543
"cloglog",-16739,-251348.740275328,695505.639391133,"F",1,17.0031453080204,0.87371189939588,18.7720570618553,0.874601290756574,16.0031453080204,17.7720570618553
"cloglog",-14983,-126848.740275328,700005.639391133,"F",4,11.0561882039614,0.739584651193276,12.2632580842404,0.742403377472598,7.05618820396142,8.26325808424037
"cloglog",-10582,-190348.740275328,742005.639391133,"F",2,6.76338152555605,0.560916822598905,7.35434012403076,0.556659169621636,4.76338152555605,5.35434012403076
"cloglog",-10530,477651.259724671,1166005.63939113,"F",2,1.88777517897585,0.20525333780946,2.01894362844063,0.200127083051281,-0.112224821024151,0.0189436284406335
"cloglog",-10737,588651.259724671,1116505.63939113,"G",2,1.25613829530814,0.141754540224246,0.902768673573222,0.0956565312960669,-0.743861704691858,-1.09723132642678
"cloglog",-17149,155651.259724672,821005.639391132,"G",0,13.0834182327226,0.796518501785484,14.8201430534367,0.808064613799624,13.0834182327226,14.8201430534367
"cloglog",-15045,108651.259724672,892505.639391132,"G",6,6.76578836690258,0.56104541095798,6.30339441181414,0.504427616742194,0.76578836690258,0.303394411814137
"cloglog",-16749,-300348.740275328,650505.639391133,"G",0,6.82507248859382,0.564200875459202,7.85258112478908,0.582964047881829,6.82507248859382,7.85258112478908
"cloglog",-19379,304651.259724672,1108505.63939113,"G",1,2.49697876611036,0.26204218127951,2.58492227426209,0.250160617634798,1.49697876611036,1.58492227426209
"cloglog",-9789,-507348.740275327,509505.639391134,"G",3,16.9013129716012,0.872137144760975,19.7859397857063,0.889601985575109,13.9013129716012,16.7859397857063
"cloglog",-19114,-167348.740275328,743505.639391133,"G",36,12.904113411406,0.792029655378852,14.7905335830691,0.807430611973221,-23.095886588594,-21.2094664169309
"cloglog",-9792,-471348.740275327,497005.639391134,"G",0,6.00387245250668,0.518398527630924,8.15940583014119,0.596974526648757,6.00387245250668,8.15940583014119
"cloglog",-17141,83651.259724672,738005.639391133,"G",0,6.74033766446474,0.559683768500775,7.69310861919975,0.575490783286647,6.74033766446474,7.69310861919975
"cloglog",-10678,140651.259724672,909505.639391132,"G",3,11.5970655650268,0.756173710048926,12.6553600650645,0.755732988190543,8.59706556502679,9.65536006506451
"cloglog",-17245,652651.259724671,1145005.63939113,"G",0,1.83549660058862,0.200181028817331,1.84095248386386,0.185382387657837,1.83549660058862,1.84095248386386
"cloglog",-19671,159651.259724672,902005.639391132,"G",9,10.4396942962791,0.719295707048676,11.6876761674616,0.727935837058503,1.43969429627911,2.68767616746162
"cloglog",-14671,298651.259724672,913005.639391132,"G",0,2.96752939084994,0.303113025144774,3.09617028712445,0.291663917602917,2.96752939084994,3.09617028712445
"cloglog",-19157,-4348.74027532793,762505.639391133,"G",0,5.2311654027966,0.470913910598212,6.58787788635346,0.519883386777738,5.2311654027966,6.58787788635346
"cloglog",-10352,-202348.740275328,563505.639391134,"G",0,4.09826724422796,0.392702584622042,5.08139577532173,0.432174714813318,4.09826724422796,5.08139577532173
"cloglog",-16457,-671348.740275327,488005.639391134,"G",31,7.94181242453316,0.619578331215212,8.48368706620253,0.611270830177362,-23.0581875754668,-22.5163129337975
"cloglog",-17165,279651.259724672,942505.639391132,"G",3,7.24585117169578,0.585954878429993,7.13062018268218,0.548045738542062,4.24585117169578,4.13062018268218
"cloglog",-14227,-111348.740275328,758505.639391133,"G",0,11.3254023158167,0.747978104197287,12.8534953457314,0.761064275681608,11.3254023158167,12.8534953457314
"cloglog",-10486,231651.259724672,853505.639391132,"G",0,2.27944010817459,0.242245141575308,2.81757042753762,0.26934032488639,2.27944010817459,2.81757042753762
"cloglog",-10708,282651.259724672,969005.639391132,"G",32,7.385032647775,0.592908760747798,6.96429998034912,0.539595739765931,-24.614967352225,-25.0357000196509
"cloglog",-19645,1262651.25972467,720505.639391133,"G",6,7.83367164984602,0.614538841795414,9.35900415006697,0.647378847376412,1.83367164984602,3.35900415006697
"cloglog",-19022,-123348.740275328,615005.639391133,"G",1,12.4822121581521,0.781072951446697,15.6026277716011,0.824083511007698,11.4822121581521,14.6026277716011
"cloglog",-10488,221651.259724672,874005.639391132,"G",1,9.59569519511941,0.688931907343131,9.65847097366488,0.658945912439292,8.59569519511941,8.65847097366488
"cloglog",-19144,-272348.740275328,641005.639391133,"G",1,8.74687770611052,0.655081462590554,10.1816796487702,0.678252008191879,7.74687770611052,9.18167964877017
"cloglog",-19115,-134348.740275328,775505.639391133,"G",4,8.57445704182543,0.647767695360696,9.83641713709927,0.665638651953598,4.57445704182543,5.83641713709927
"cloglog",-19156,-78348.7402753279,656505.639391133,"G",0,4.67572470485855,0.433914434176083,5.29638399011243,0.445609441243101,4.67572470485855,5.29638399011243
"cloglog",-15132,1222651.25972467,791505.639391132,"G",2,5.69234631383012,0.499790018815455,6.15630279018166,0.496242105757802,3.69234631383012,4.15630279018166
"cloglog",-9803,-401348.740275327,515005.639391134,"G",3,8.48849451067082,0.644063593112557,9.19975737501814,0.641068916873301,5.48849451067082,6.19975737501814
"cloglog",-15121,1079151.25972467,941005.639391132,"G",0,3.17308606833392,0.3203295022423,2.87514958045024,0.274010972863482,3.17308606833392,2.87514958045024
"cloglog",-14013,-507348.740275327,509505.639391134,"G",7,23.2597685787188,0.941021728619601,27.5489771881206,0.953498607695099,16.2597685787188,20.5489771881206
"cloglog",-17186,321651.259724672,1029005.63939113,"G",0,5.72493627457479,0.501769932504843,6.17796466366434,0.49745600494109,5.72493627457479,6.17796466366434
"cloglog",-15057,159651.259724672,826505.639391132,"G",20,19.4695231238378,0.90645700547641,21.8000989589938,0.91178608169864,-0.530476876162162,1.80009895899384
"cloglog",-19518,988651.259724671,1013505.63939113,"G",0,2.34360209247854,0.248138774621909,2.52875365198789,0.245455075393763,2.34360209247854,2.52875365198789
